19:22:45 | INFO     | UDPReceiver | udp_receiver.py:115 | 帧 19 拼接成功，已更新最新帧数据
19:22:45 | INFO     | UDPReceiver | udp_receiver.py:151 | 接收新帧 20，总长度 22500 字节
19:22:47 | INFO     | UDPReceiver | udp_receiver.py:105 | 帧 20 已接收完整，尝试拼接
19:22:47 | INFO     | UDPReceiver | udp_receiver.py:115 | 帧 20 拼接成功，已更新最新帧数据
19:22:47 | INFO     | UDPReceiver | udp_receiver.py:151 | 接收新帧 21，总长度 22500 字节
19:22:48 | INFO     | UDPReceiver | udp_receiver.py:105 | 帧 21 已接收完整，尝试拼接
19:22:48 | INFO     | UDPReceiver | udp_receiver.py:115 | 帧 21 拼接成功，已更新最新帧数据
19:22:48 | INFO     | UDPReceiver | udp_receiver.py:151 | 接收新帧 22，总长度 22500 字节
19:22:50 | INFO     | UDPReceiver | udp_receiver.py:105 | 帧 22 已接收完整，尝试拼接
19:22:50 | INFO     | UDPReceiver | udp_receiver.py:115 | 帧 22 拼接成功，已更新最新帧数据
19:22:50 | INFO     | UDPReceiver | udp_receiver.py:151 | 接收新帧 23，总长度 22500 字节
19:22:52 | INFO     | UDPReceiver | udp_receiver.py:105 | 帧 23 已接收完整，尝试拼接
19:22:52 | INFO     | UDPReceiver | udp_receiver.py:115 | 帧 23 拼接成功，已更新最新帧数据
19:22:52 | INFO     | UDPReceiver | udp_receiver.py:151 | 接收新帧 24，总长度 22500 字节
19:22:53 | INFO     | UDPReceiver | udp_receiver.py:105 | 帧 24 已接收完整，尝试拼接
19:22:53 | INFO     | UDPReceiver | udp_receiver.py:115 | 帧 24 拼接成功，已更新最新帧数据
19:22:53 | INFO     | UDPReceiver | udp_receiver.py:151 | 接收新帧 25，总长度 22500 字节
19:22:55 | INFO     | UDPReceiver | udp_receiver.py:105 | 帧 25 已接收完整，尝试拼接
19:22:55 | INFO     | UDPReceiver | udp_receiver.py:115 | 帧 25 拼接成功，已更新最新帧数据
19:22:55 | INFO     | UDPReceiver | udp_receiver.py:151 | 接收新帧 26，总长度 22500 字节
19:22:57 | INFO     | UDPReceiver | udp_receiver.py:105 | 帧 26 已接收完整，尝试拼接
19:22:57 | INFO     | UDPReceiver | udp_receiver.py:115 | 帧 26 拼接成功，已更新最新帧数据
19:22:57 | INFO     | UDPReceiver | udp_receiver.py:151 | 接收新帧 27，总长度 22500 字节
19:22:58 | INFO     | UDPReceiver | udp_receiver.py:105 | 帧 27 已接收完整，尝试拼接
19:22:58 | INFO     | UDPReceiver | udp_receiver.py:115 | 帧 27 拼接成功，已更新最新帧数据
19:22:58 | INFO     | UDPReceiver | udp_receiver.py:151 | 接收新帧 28，总长度 22500 字节
19:23:00 | INFO     | UDPReceiver | udp_receiver.py:105 | 帧 28 已接收完整，尝试拼接
19:23:00 | INFO     | UDPReceiver | udp_receiver.py:115 | 帧 28 拼接成功，已更新最新帧数据
19:23:00 | INFO     | UDPReceiver | udp_receiver.py:151 | 接收新帧 29，总长度 22500 字节
