19:48:52 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:48:53 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:48:54 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:48:55 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:48:56 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:48:57 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:48:58 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:48:59 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:49:00 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:49:01 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:49:02 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:49:03 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:49:04 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:49:05 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:49:06 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:49:07 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:49:08 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:49:09 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:49:10 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:49:11 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:49:12 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:49:13 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:49:14 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:49:15 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:49:16 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:49:17 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:49:18 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:49:19 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:49:20 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:49:22 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:49:23 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:49:24 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:49:25 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:49:26 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:49:27 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:49:28 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:49:29 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:49:30 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:49:31 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:49:32 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:49:33 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:49:34 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:49:35 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:49:36 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:49:37 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:49:38 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:49:39 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:49:40 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:49:41 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:49:42 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:49:43 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:49:44 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:49:45 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:49:46 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:49:47 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:49:48 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:49:49 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:49:50 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:49:51 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:49:52 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:49:53 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:49:54 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:49:55 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:49:56 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:49:57 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:49:58 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:49:59 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:50:00 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:50:01 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:50:02 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:50:03 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:50:04 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:50:05 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:50:06 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:50:07 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:50:08 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:50:09 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:50:10 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:50:11 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:50:12 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:50:13 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:50:14 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:50:15 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:50:16 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:50:17 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:50:18 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:50:19 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:50:20 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:50:21 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:50:22 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:50:23 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:50:24 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:50:25 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:50:26 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:50:27 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:50:28 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:50:29 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:50:30 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:50:31 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:50:32 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:50:33 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:50:34 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:50:35 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:50:36 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:50:37 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:50:38 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:50:39 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:50:40 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:50:41 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:50:42 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:50:43 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:50:44 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:50:45 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:50:46 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:50:47 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:50:48 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:50:49 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:50:50 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:50:51 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
