16:11:35 | INFO     | UDPReceiver | rm_logger.py:154 | 接收到新帧 7，当前帧 6 已完成接收，尝试拼接上一帧
16:11:35 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 6 已接收完整，尝试拼接
16:11:35 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 6 拼接成功，已更新最新帧数据
16:11:35 | INFO     | UDPReceiver | rm_logger.py:154 | 接收新帧 7，总长度 22500 字节
16:11:37 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 7 已接收完整，尝试拼接
16:11:37 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 7 拼接成功，已更新最新帧数据
16:11:37 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 7 已成功拼接，准备显示
16:11:37 | INFO     | UDPReceiver | rm_logger.py:154 | 接收到新帧 8，当前帧 7 已完成接收，尝试拼接上一帧
16:11:37 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 7 已接收完整，尝试拼接
16:11:37 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 7 拼接成功，已更新最新帧数据
16:11:37 | INFO     | UDPReceiver | rm_logger.py:154 | 接收新帧 8，总长度 22500 字节
16:11:39 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 8 已接收完整，尝试拼接
16:11:39 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 8 拼接成功，已更新最新帧数据
16:11:39 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 8 已成功拼接，准备显示
16:11:39 | INFO     | UDPReceiver | rm_logger.py:154 | 接收到新帧 9，当前帧 8 已完成接收，尝试拼接上一帧
16:11:39 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 8 已接收完整，尝试拼接
16:11:39 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 8 拼接成功，已更新最新帧数据
16:11:39 | INFO     | UDPReceiver | rm_logger.py:154 | 接收新帧 9，总长度 22500 字节
16:11:41 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 9 已接收完整，尝试拼接
16:11:41 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 9 拼接成功，已更新最新帧数据
16:11:41 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 9 已成功拼接，准备显示
16:11:41 | INFO     | UDPReceiver | rm_logger.py:154 | 接收到新帧 10，当前帧 9 已完成接收，尝试拼接上一帧
16:11:41 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 9 已接收完整，尝试拼接
16:11:41 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 9 拼接成功，已更新最新帧数据
16:11:41 | INFO     | UDPReceiver | rm_logger.py:154 | 接收新帧 10，总长度 22500 字节
16:11:42 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 10 已接收完整，尝试拼接
16:11:42 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 10 拼接成功，已更新最新帧数据
16:11:42 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 10 已成功拼接，准备显示
16:11:42 | INFO     | UDPReceiver | rm_logger.py:154 | 接收到新帧 11，当前帧 10 已完成接收，尝试拼接上一帧
16:11:42 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 10 已接收完整，尝试拼接
16:11:42 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 10 拼接成功，已更新最新帧数据
16:11:42 | INFO     | UDPReceiver | rm_logger.py:154 | 接收新帧 11，总长度 22500 字节
16:11:44 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 11 已接收完整，尝试拼接
16:11:44 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 11 拼接成功，已更新最新帧数据
16:11:44 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 11 已成功拼接，准备显示
16:11:44 | INFO     | UDPReceiver | rm_logger.py:154 | 接收到新帧 12，当前帧 11 已完成接收，尝试拼接上一帧
16:11:44 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 11 已接收完整，尝试拼接
16:11:44 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 11 拼接成功，已更新最新帧数据
16:11:44 | INFO     | UDPReceiver | rm_logger.py:154 | 接收新帧 12，总长度 22500 字节
16:11:46 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 12 已接收完整，尝试拼接
16:11:46 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 12 拼接成功，已更新最新帧数据
16:11:46 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 12 已成功拼接，准备显示
16:11:46 | INFO     | UDPReceiver | rm_logger.py:154 | 接收到新帧 13，当前帧 12 已完成接收，尝试拼接上一帧
16:11:46 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 12 已接收完整，尝试拼接
16:11:46 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 12 拼接成功，已更新最新帧数据
16:11:46 | INFO     | UDPReceiver | rm_logger.py:154 | 接收新帧 13，总长度 22500 字节
16:11:48 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 13 已接收完整，尝试拼接
16:11:48 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 13 拼接成功，已更新最新帧数据
16:11:48 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 13 已成功拼接，准备显示
16:11:48 | INFO     | UDPReceiver | rm_logger.py:154 | 接收到新帧 14，当前帧 13 已完成接收，尝试拼接上一帧
16:11:48 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 13 已接收完整，尝试拼接
16:11:48 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 13 拼接成功，已更新最新帧数据
