20:23:18 | INFO     | MQTTClient | rm_logger.py:172 | 日志级别已设置为 DEBUG
20:24:17 | INFO     | MQTTClient | rm_logger.py:172 | 日志级别已设置为 DEBUG
20:24:29 | INFO     | MQTTClient | rm_logger.py:172 | 日志级别已设置为 DEBUG
20:24:29 | INFO     | MQTTClient | mqtt_client.py:25 | MQTT连接成功
20:24:29 | DEBUG    | MQTTClient | mqtt_client.py:41 | MQTT订阅成功，消息ID: 1, QoS: (0,)
20:25:17 | INFO     | MQTTClient | rm_logger.py:172 | 日志级别已设置为 DEBUG
20:25:17 | INFO     | MQTTClient | mqtt_client.py:26 | MQTT连接成功
20:25:17 | DEBUG    | MQTTClient | mqtt_client.py:42 | MQTT订阅成功，消息ID: 1, QoS: (0,)
20:25:38 | INFO     | MQTTClient | rm_logger.py:172 | 日志级别已设置为 DEBUG
20:25:38 | INFO     | MQTTClient | mqtt_client.py:26 | MQTT连接成功
20:25:38 | INFO     | MQTTClient | mqtt_client.py:30 | 已订阅主题: CustomByteBlock
20:25:38 | DEBUG    | MQTTClient | mqtt_client.py:43 | MQTT订阅成功，消息ID: 1, QoS: (0,)
20:27:22 | DEBUG    | MQTTClient | mqtt_client.py:36 | 收到MQTT消息，主题: CustomByteBlock, 内容: b'\n\x03\xd7]u'
