14:35:32 | INFO     | CoreService | core_service.py:66 | 停止UDP图传接收线程...
14:35:32 | INFO     | CoreService | core_service.py:68 | CoreService 已停止
14:39:17 | INFO     | CoreService | core_service.py:60 | 收到退出信号，正在关闭 CoreService...
14:39:17 | INFO     | CoreService | core_service.py:64 | 停止MQTT客户端...
14:39:17 | INFO     | CoreService | core_service.py:66 | 停止UDP图传接收线程...
14:39:17 | INFO     | CoreService | core_service.py:68 | CoreService 已停止
14:39:20 | INFO     | CoreService | core_service.py:60 | CoreService 已在后台启动（非阻塞模式）
14:39:58 | INFO     | CoreService | core_service.py:60 | CoreService 已在后台启动（非阻塞模式）
14:41:17 | INFO     | CoreService | core_service.py:61 | CoreService 已在后台启动（非阻塞模式）
14:43:55 | INFO     | CoreService | core_service.py:61 | CoreService 已在后台启动（非阻塞模式）
14:43:57 | INFO     | CoreService | core_service.py:50 | 更新状态，消息类型: GameStatus, 内容: {}
14:44:08 | INFO     | CoreService | core_service.py:50 | 更新状态，消息类型: GameStatus, 内容: {'current_round': 222, 'blue_score': 2}
14:44:57 | INFO     | CoreService | core_service.py:50 | 更新状态，消息类型: GlobalLogisticsStatus, 内容: {'total_economy_obtained': '221'}
14:47:03 | INFO     | CoreService | core_service.py:50 | 更新状态，消息类型: Event, 内容: {'param': '111'}
14:47:09 | INFO     | CoreService | core_service.py:50 | 更新状态，消息类型: Event, 内容: {'event_id': 2, 'param': '111'}
14:47:17 | INFO     | CoreService | core_service.py:50 | 更新状态，消息类型: RobotRespawnStatus, 内容: {'is_pending_respawn': True}
14:47:24 | INFO     | CoreService | core_service.py:50 | 更新状态，消息类型: RobotStaticStatus, 内容: {'alive_state': 1, 'performance_system_shooter': 1, 'performance_system_chassis': 1}
14:47:33 | INFO     | CoreService | core_service.py:50 | 更新状态，消息类型: RobotStaticStatus, 内容: {'connection_state': 1, 'field_state': 1, 'alive_state': 1, 'performance_system_shooter': 1, 'performance_system_chassis': 1}
14:49:55 | INFO     | CoreService | core_service.py:61 | CoreService 已在后台启动（非阻塞模式）
14:49:58 | INFO     | CoreService | core_service.py:50 | 更新状态，消息类型: GlobalUnitStatus, 内容: {'base_health': 333}
14:50:06 | INFO     | CoreService | core_service.py:50 | 更新状态，消息类型: GlobalUnitStatus, 内容: {'base_health': 333, 'robot_bullets': [1, 2, 3, 4]}
14:50:21 | INFO     | CoreService | core_service.py:50 | 更新状态，消息类型: AirSupportStatusSync, 内容: {'airsupport_status': 1}
14:50:42 | INFO     | CoreService | core_service.py:50 | 更新状态，消息类型: DartSelectTargetStatusSync, 内容: {'target_id': 1}
14:50:58 | INFO     | CoreService | core_service.py:50 | 更新状态，消息类型: RuneStatusSync, 内容: {'rune_status': 1}
14:51:01 | INFO     | CoreService | core_service.py:50 | 更新状态，消息类型: DeployModeStatusSync, 内容: {}
14:51:03 | INFO     | CoreService | core_service.py:50 | 更新状态，消息类型: RobotPerformanceSelectionSync, 内容: {'shooter': 1, 'chassis': 1}
14:51:05 | INFO     | CoreService | core_service.py:50 | 更新状态，消息类型: TechCoreMotionStateSync, 内容: {'status': 1}
14:51:07 | INFO     | CoreService | core_service.py:50 | 更新状态，消息类型: CustomByteBlock, 内容: {}
14:51:11 | INFO     | CoreService | core_service.py:50 | 更新状态，消息类型: CustomByteBlock, 内容: {'data': '1111'}
14:51:18 | INFO     | CoreService | core_service.py:50 | 更新状态，消息类型: CustomByteBlock, 内容: {'data': '11111w=='}
14:51:23 | INFO     | CoreService | core_service.py:50 | 更新状态，消息类型: CustomByteBlock, 内容: {'data': '111111sadasd'}
14:51:27 | INFO     | CoreService | core_service.py:50 | 更新状态，消息类型: CustomByteBlock, 内容: {'data': '1111'}
14:51:31 | INFO     | CoreService | core_service.py:50 | 更新状态，消息类型: CustomByteBlock, 内容: {'data': '11111w=='}
14:51:47 | INFO     | CoreService | core_service.py:50 | 更新状态，消息类型: CustomByteBlock, 内容: {'data': '22222222220='}
14:52:01 | INFO     | CoreService | core_service.py:50 | 更新状态，消息类型: CustomByteBlock, 内容: {'data': 'aaaaabbbbbbb'}
14:52:03 | INFO     | CoreService | core_service.py:50 | 更新状态，消息类型: CustomByteBlock, 内容: {'data': 'aaaaabbbbbbb'}
14:52:06 | INFO     | CoreService | core_service.py:50 | 更新状态，消息类型: CustomByteBlock, 内容: {'data': 'aaaaabbbbbbb1111'}
15:27:08 | INFO     | CoreService | core_service.py:50 | 更新状态，消息类型: TechCoreMotionStateSync, 内容: {'status': 1}
15:27:15 | INFO     | CoreService | core_service.py:50 | 更新状态，消息类型: TechCoreMotionStateSync, 内容: {'maximum_difficulty_level': 1, 'status': 1}
15:27:21 | INFO     | CoreService | core_service.py:50 | 更新状态，消息类型: RobotPerformanceSelectionSync, 内容: {'shooter': 1, 'chassis': 1}
15:27:25 | INFO     | CoreService | core_service.py:50 | 更新状态，消息类型: DeployModeStatusSync, 内容: {'status': 1}
15:27:34 | INFO     | CoreService | core_service.py:50 | 更新状态，消息类型: RuneStatusSync, 内容: {'rune_status': 2, 'activated_arms': 1, 'average_rings': 1}
15:31:07 | INFO     | CoreService | core_service.py:61 | CoreService 已在后台启动（非阻塞模式）
15:31:07 | INFO     | CoreService | core_service.py:44 | 成功发布消息，主题: AssemblyCommand, 内容: b'\x08\x01\x10\x02'
15:31:07 | INFO     | CoreService | core_service.py:127 | 测试发布完成，topic=AssemblyCommand
15:31:07 | INFO     | CoreService | core_service.py:44 | 成功发布消息，主题: CommonCommand, 内容: b'\x08\x03'
15:31:07 | INFO     | CoreService | core_service.py:127 | 测试发布完成，topic=CommonCommand
15:31:07 | ERROR    | CoreService | core_service.py:46 | 发布消息时发生错误，主题: MapClickInfoNotify, 错误: expected bytes, str found
15:31:07 | ERROR    | CoreService | core_service.py:129 | 测试发布失败，topic=MapClickInfoNotify, error=expected bytes, str found
15:31:07 | ERROR    | CoreService | core_service.py:46 | 发布消息时发生错误，主题: CustomControl, 错误: expected bytes, str found
15:31:07 | ERROR    | CoreService | core_service.py:129 | 测试发布失败，topic=CustomControl, error=expected bytes, str found
15:34:26 | INFO     | CoreService | core_service.py:61 | CoreService 已在后台启动（非阻塞模式）
15:34:26 | INFO     | CoreService | core_service.py:44 | 成功发布消息，主题: AssemblyCommand, 内容: b'\x08\x01\x10\x02'
15:34:26 | INFO     | CoreService | core_service.py:127 | 测试发布完成，topic=AssemblyCommand
15:34:26 | INFO     | CoreService | core_service.py:44 | 成功发布消息，主题: CommonCommand, 内容: b'\x08\x03'
15:34:26 | INFO     | CoreService | core_service.py:127 | 测试发布完成，topic=CommonCommand
15:34:26 | INFO     | CoreService | core_service.py:44 | 成功发布消息，主题: MapClickInfoNotify, 内容: b'\x12\x07\x01\x02\x00\x00\x00\x00\x00\x18\x01 e(!0\x018\x80\x05@\xe8\x02M\x00\x00HAU\x00\x00\xc8@'
15:34:26 | INFO     | CoreService | core_service.py:127 | 测试发布完成，topic=MapClickInfoNotify
15:34:26 | INFO     | CoreService | core_service.py:44 | 成功发布消息，主题: CustomControl, 内容: b'\n\x0511111'
15:34:26 | INFO     | CoreService | core_service.py:127 | 测试发布完成，topic=CustomControl
15:47:35 | INFO     | CoreService | core_service.py:61 | CoreService 已在后台启动（非阻塞模式）
15:47:35 | INFO     | CoreService | core_service.py:44 | 成功发布消息，主题: AssemblyCommand, 内容: b'\x08\x01\x10\x02'
15:47:35 | INFO     | CoreService | core_service.py:127 | 测试发布完成，topic=AssemblyCommand
15:47:35 | INFO     | CoreService | core_service.py:44 | 成功发布消息，主题: CommonCommand, 内容: b'\x08\x03'
15:47:35 | INFO     | CoreService | core_service.py:127 | 测试发布完成，topic=CommonCommand
15:47:35 | INFO     | CoreService | core_service.py:44 | 成功发布消息，主题: MapClickInfoNotify, 内容: b'\x12\x07\x01\x02\x00\x00\x00\x00\x00\x18\x01 e(!0\x018\x80\x05@\xe8\x02M\x00\x00HAU\x00\x00\xc8@'
15:47:35 | INFO     | CoreService | core_service.py:127 | 测试发布完成，topic=MapClickInfoNotify
15:47:35 | INFO     | CoreService | core_service.py:44 | 成功发布消息，主题: CustomControl, 内容: b'\n\x0511111'
15:47:35 | INFO     | CoreService | core_service.py:127 | 测试发布完成，topic=CustomControl
15:47:55 | INFO     | CoreService | core_service.py:50 | 更新状态，消息类型: GameStatus, 内容: {'current_round': 222, 'total_rounds': 2, 'blue_score': 2}
15:48:09 | INFO     | CoreService | core_service.py:50 | 更新状态，消息类型: GlobalUnitStatus, 内容: {'base_health': 333, 'robot_bullets': [1, 2, 3, 4]}
17:09:47 | INFO     | CoreService | core_service.py:59 | CoreService 已在后台启动（非阻塞模式）
17:09:48 | INFO     | CoreService | core_service.py:42 | 成功发布消息，主题: AssemblyCommand, 内容: b'\x08\x01\x10\x02'
17:09:48 | INFO     | CoreService | core_service.py:125 | 测试发布完成，topic=AssemblyCommand
17:09:48 | INFO     | CoreService | core_service.py:42 | 成功发布消息，主题: CommonCommand, 内容: b'\x08\x03'
17:09:48 | INFO     | CoreService | core_service.py:125 | 测试发布完成，topic=CommonCommand
17:09:48 | INFO     | CoreService | core_service.py:42 | 成功发布消息，主题: MapClickInfoNotify, 内容: b'\x12\x07\x01\x02\x00\x00\x00\x00\x00\x18\x01 e(!0\x018\x80\x05@\xe8\x02M\x00\x00HAU\x00\x00\xc8@'
17:09:48 | INFO     | CoreService | core_service.py:125 | 测试发布完成，topic=MapClickInfoNotify
17:09:48 | INFO     | CoreService | core_service.py:42 | 成功发布消息，主题: CustomControl, 内容: b'\n\x0511111'
17:09:48 | INFO     | CoreService | core_service.py:125 | 测试发布完成，topic=CustomControl
17:10:07 | INFO     | CoreService | core_service.py:48 | 更新状态，消息类型: GameStatus, 内容: {'current_round': 222, 'total_rounds': 2, 'red_score': 111, 'blue_score': 2, 'current_stage': 1}
17:11:20 | INFO     | CoreService | core_service.py:48 | 更新状态，消息类型: GlobalUnitStatus, 内容: {'base_health': 333, 'outpost_status': 2, 'robot_health': [2, 5, 8], 'robot_bullets': [1, 2, 3, 4]}
17:30:50 | INFO     | CoreService | core_service.py:59 | CoreService 已在后台启动（非阻塞模式）
17:30:50 | INFO     | CoreService | core_service.py:42 | 成功发布消息，主题: AssemblyCommand, 内容: b'\x08\x01\x10\x02'
17:30:50 | INFO     | CoreService | core_service.py:125 | 测试发布完成，topic=AssemblyCommand
17:30:50 | INFO     | CoreService | core_service.py:42 | 成功发布消息，主题: CommonCommand, 内容: b'\x08\x03'
17:30:50 | INFO     | CoreService | core_service.py:125 | 测试发布完成，topic=CommonCommand
17:30:50 | INFO     | CoreService | core_service.py:42 | 成功发布消息，主题: MapClickInfoNotify, 内容: b'\x12\x07\x01\x02\x00\x00\x00\x00\x00\x18\x01 e(!0\x018\x80\x05@\xe8\x02M\x00\x00HAU\x00\x00\xc8@'
17:30:50 | INFO     | CoreService | core_service.py:125 | 测试发布完成，topic=MapClickInfoNotify
17:30:50 | INFO     | CoreService | core_service.py:42 | 成功发布消息，主题: CustomControl, 内容: b'\n\x0511111'
17:30:50 | INFO     | CoreService | core_service.py:125 | 测试发布完成，topic=CustomControl
